filepath,label
/Users/srabontideb/Downloads/Young Learner_s Research Lab/GAN/kvasir_bilateral_filtered/00/2153159c-1c3c-4cb3-9880-e376d2a13456.jpg,0
/Users/srabontideb/Downloads/Young Learner_s Research Lab/GAN/kvasir_bilateral_filtered/07/5d404e9d-e5c0-49bc-be08-6483fa93f324.jpg,7
/Users/srabontideb/Downloads/Young Learner_s Research Lab/GAN/kvasir_bilateral_filtered/03/3fa22fba-ae0c-4502-a314-1c0c421b9127.jpg,3
/Users/srabontideb/Downloads/Young Learner_s Research Lab/GAN/kvasir_bilateral_filtered/07/26b63783-31b9-4f00-a795-2126ab9bb187.jpg,7
/Users/srabontideb/Downloads/Young Learner_s Research Lab/GAN/kvasir_bilateral_filtered/00/46013e17-dfcf-4ca8-a2b0-b83fb5da0501.jpg,0
/Users/srabontideb/Downloads/Young Learner_s Research Lab/GAN/kvasir_bilateral_filtered/02/e8bb6587-a329-4900-bacb-50e473cc2cd7.jpg,2
/Users/srabontideb/Downloads/Young Learner_s Research Lab/GAN/kvasir_bilateral_filtered/01/1d423f77-a9ec-4964-bf35-c1f06ba68e4d.jpg,1
/Users/srabontideb/Downloads/Young Learner_s Research Lab/GAN/kvasir_bilateral_filtered/07/ea9442ea-a3e8-4210-9ede-3c53158d134e.jpg,7
/Users/srabontideb/Downloads/Young Learner_s Research Lab/GAN/kvasir_bilateral_filtered/02/ce312140-5efd-4a1e-9851-6f469901077b.jpg,2
/Users/srabontideb/Downloads/Young Learner_s Research Lab/GAN/kvasir_bilateral_filtered/05/2e2447d1-29d0-4988-b9ca-16d4757e52f4.jpg,5
/Users/srabontideb/Downloads/Young Learner_s Research Lab/GAN/kvasir_bilateral_filtered/00/4f712873-051a-418e-8cbd-8bf1f5f4ae23.jpg,0
/Users/srabontideb/Downloads/Young Learner_s Research Lab/GAN/kvasir_bilateral_filtered/01/83f07644-9e5d-4357-945b-27375aa77d9f.jpg,1
/Users/srabontideb/Downloads/Young Learner_s Research Lab/GAN/kvasir_bilateral_filtered/06/3f9e3b87-50f9-4b1f-9258-8d2fdac1e831.jpg,6
/Users/srabontideb/Downloads/Young Learner_s Research Lab/GAN/kvasir_bilateral_filtered/07/ea737a01-13d8-4707-8745-09eda1252d1c.jpg,7
/Users/srabontideb/Downloads/Young Learner_s Research Lab/GAN/kvasir_bilateral_filtered/01/6bdfadc1-6ccb-4040-a1b1-825c1a1292b5.jpg,1
/Users/srabontideb/Downloads/Young Learner_s Research Lab/GAN/kvasir_bilateral_filtered/03/678cda14-372a-4e21-bdf2-1b0778439629.jpg,3
/Users/srabontideb/Downloads/Young Learner_s Research Lab/GAN/kvasir_bilateral_filtered/07/4f3bde35-92c7-4909-a314-e2cf7ab0b311.jpg,7
/Users/srabontideb/Downloads/Young Learner_s Research Lab/GAN/kvasir_bilateral_filtered/01/8139b8c8-9f5d-413f-abb7-10eba5e52b43.jpg,1
/Users/srabontideb/Downloads/Young Learner_s Research Lab/GAN/kvasir_bilateral_filtered/03/400175fe-f25b-4a5c-a35e-a47d86737546.jpg,3
/Users/srabontideb/Downloads/Young Learner_s Research Lab/GAN/kvasir_bilateral_filtered/00/816bd254-13e6-4760-b48b-44c71fc54944.jpg,0
/Users/srabontideb/Downloads/Young Learner_s Research Lab/GAN/kvasir_bilateral_filtered/06/804a8813-5b56-49c8-b5e7-950ccce8d30c.jpg,6
/Users/srabontideb/Downloads/Young Learner_s Research Lab/GAN/kvasir_bilateral_filtered/02/390055b1-ecf3-413c-9a6e-2dff19cf11fb.jpg,2
/Users/srabontideb/Downloads/Young Learner_s Research Lab/GAN/kvasir_bilateral_filtered/01/d85fe8e4-6f9c-46fe-8393-d76a11e0beab.jpg,1
/Users/srabontideb/Downloads/Young Learner_s Research Lab/GAN/kvasir_bilateral_filtered/03/1ab067f8-bd10-4937-9a85-6617541144bf.jpg,3
/Users/srabontideb/Downloads/Young Learner_s Research Lab/GAN/kvasir_bilateral_filtered/00/3c229b33-6e5c-4c02-afae-cdd5ea65cf72.jpg,0
/Users/srabontideb/Downloads/Young Learner_s Research Lab/GAN/kvasir_bilateral_filtered/03/88832c9b-82b8-47ae-bcc5-96821f5f55e5.jpg,3
/Users/srabontideb/Downloads/Young Learner_s Research Lab/GAN/kvasir_bilateral_filtered/04/e6e288b6-22b9-4592-8f00-28dba8df2212.jpg,4
/Users/srabontideb/Downloads/Young Learner_s Research Lab/GAN/kvasir_bilateral_filtered/02/a73b9aa8-0437-48ae-8a89-9440596f8224.jpg,2
/Users/srabontideb/Downloads/Young Learner_s Research Lab/GAN/kvasir_bilateral_filtered/03/a25ece32-f0d1-4408-95ae-d003f71358f7.jpg,3
/Users/srabontideb/Downloads/Young Learner_s Research Lab/GAN/kvasir_bilateral_filtered/04/6a8e6601-c42e-4fad-9153-7d5bc6b15acf.jpg,4
/Users/srabontideb/Downloads/Young Learner_s Research Lab/GAN/kvasir_bilateral_filtered/02/172d405f-bced-4502-99c9-e50029244a8f.jpg,2
/Users/srabontideb/Downloads/Young Learner_s Research Lab/GAN/kvasir_bilateral_filtered/00/769dcf76-059c-4b1a-b3f3-61c2c1f2dafb.jpg,0
/Users/srabontideb/Downloads/Young Learner_s Research Lab/GAN/kvasir_bilateral_filtered/04/c4ab1968-77f2-4764-8b40-859d5b53c882.jpg,4
/Users/srabontideb/Downloads/Young Learner_s Research Lab/GAN/kvasir_bilateral_filtered/07/026a153f-d8e3-4325-b4ab-f5f9d485a333.jpg,7
/Users/srabontideb/Downloads/Young Learner_s Research Lab/GAN/kvasir_bilateral_filtered/02/296fe49c-5da6-4ba4-b1f0-e2d395794e72.jpg,2
/Users/srabontideb/Downloads/Young Learner_s Research Lab/GAN/kvasir_bilateral_filtered/02/66e5ad03-0b59-4584-a035-0654b7cbbb83.jpg,2
/Users/srabontideb/Downloads/Young Learner_s Research Lab/GAN/kvasir_bilateral_filtered/06/d4d15f29-dbac-44ea-97b8-ebd0110efcd0.jpg,6
/Users/srabontideb/Downloads/Young Learner_s Research Lab/GAN/kvasir_bilateral_filtered/03/096174d5-24ca-40e3-8fff-7feb3f74f0ac.jpg,3
/Users/srabontideb/Downloads/Young Learner_s Research Lab/GAN/kvasir_bilateral_filtered/02/1ed3011a-0fb0-4ff7-a5ea-5f953dc429fc.jpg,2
/Users/srabontideb/Downloads/Young Learner_s Research Lab/GAN/kvasir_bilateral_filtered/07/ada4fea3-9d3b-4305-863f-e626fdf5a746.jpg,7
/Users/srabontideb/Downloads/Young Learner_s Research Lab/GAN/kvasir_bilateral_filtered/06/78b57147-08df-4fff-b12f-6d42577e6e84.jpg,6
/Users/srabontideb/Downloads/Young Learner_s Research Lab/GAN/kvasir_bilateral_filtered/00/8c3f3c95-ba1d-4532-bd8f-b7d0c76a4985.jpg,0
/Users/srabontideb/Downloads/Young Learner_s Research Lab/GAN/kvasir_bilateral_filtered/00/120c934e-4ccf-474a-8119-485ef1b29f7e.jpg,0
/Users/srabontideb/Downloads/Young Learner_s Research Lab/GAN/kvasir_bilateral_filtered/03/7770186e-096c-4f6c-aa2b-6cb65eb01ebe.jpg,3
/Users/srabontideb/Downloads/Young Learner_s Research Lab/GAN/kvasir_bilateral_filtered/06/8816b980-c716-484a-9d2e-0d2e80836b26.jpg,6
/Users/srabontideb/Downloads/Young Learner_s Research Lab/GAN/kvasir_bilateral_filtered/05/1289d1ea-0350-4e17-b462-537845529a7a.jpg,5
/Users/srabontideb/Downloads/Young Learner_s Research Lab/GAN/kvasir_bilateral_filtered/01/428f3cc6-e84f-4656-967e-77cd6a04d5a5.jpg,1
/Users/srabontideb/Downloads/Young Learner_s Research Lab/GAN/kvasir_bilateral_filtered/02/08bc0a31-989f-4b8a-8f95-9477ace18a82.jpg,2
/Users/srabontideb/Downloads/Young Learner_s Research Lab/GAN/kvasir_bilateral_filtered/04/ceb6dbef-06b7-4252-a5cb-d345b73a6c4e.jpg,4
/Users/srabontideb/Downloads/Young Learner_s Research Lab/GAN/kvasir_bilateral_filtered/05/e40ea398-63a3-421f-bb62-e8d64ac78842.jpg,5
/Users/srabontideb/Downloads/Young Learner_s Research Lab/GAN/kvasir_bilateral_filtered/01/12bb7f55-8434-4f31-b1e1-93ecd0f67051.jpg,1
/Users/srabontideb/Downloads/Young Learner_s Research Lab/GAN/kvasir_bilateral_filtered/02/cb84c532-4318-4065-bd46-60e6a4a3912d.jpg,2
/Users/srabontideb/Downloads/Young Learner_s Research Lab/GAN/kvasir_bilateral_filtered/06/88614fc5-d141-42e4-bfb1-5bb43476f8ca.jpg,6
/Users/srabontideb/Downloads/Young Learner_s Research Lab/GAN/kvasir_bilateral_filtered/07/da9e7ee7-9f96-4ca7-9c6c-d8f454aaf35e.jpg,7
/Users/srabontideb/Downloads/Young Learner_s Research Lab/GAN/kvasir_bilateral_filtered/00/a04ed30c-5e52-47d0-86e0-e768150f62aa.jpg,0
/Users/srabontideb/Downloads/Young Learner_s Research Lab/GAN/kvasir_bilateral_filtered/07/5b7ad8b1-d775-4775-9f65-2589924c03af.jpg,7
/Users/srabontideb/Downloads/Young Learner_s Research Lab/GAN/kvasir_bilateral_filtered/05/971ad3fa-8e1a-4e72-afa0-2ed33dffcc16.jpg,5
/Users/srabontideb/Downloads/Young Learner_s Research Lab/GAN/kvasir_bilateral_filtered/05/e1fca083-b452-410d-8847-479eec23a2fa.jpg,5
/Users/srabontideb/Downloads/Young Learner_s Research Lab/GAN/kvasir_bilateral_filtered/06/279466dd-6469-405a-b504-a3c8a94e3b19.jpg,6
/Users/srabontideb/Downloads/Young Learner_s Research Lab/GAN/kvasir_bilateral_filtered/05/50d36e0d-105f-4a37-8f5b-ce1230ad1661.jpg,5
/Users/srabontideb/Downloads/Young Learner_s Research Lab/GAN/kvasir_bilateral_filtered/04/57b12bd9-2496-41b1-8484-545f9984d0f4.jpg,4
